anchor,entailment,contradiction
"我国金融运行平稳,金融改革取得重要进展",我国金融没有遭遇大危机,改回原来的金融制度
"所以说很多领导都有一个问题,就是怎么才能把这些人筛选出来,我后来跟领导怎么讲",这里的领导不只有一个人,领导肯定比下属的智商要高
"整个手术时间为2小时,针插在心脏里约30分钟",这个手术是为了治疗,主刀医生在这两小时内在玩手机
有时候你也会挺烦的,人心情受到外物影响,所有人都会同时烦躁
"王琦瑶出了门诊室,见萨沙跟在身后,便笑着说:你真怕我不认路啊",王琦瑶和萨沙认识,门诊室里空空荡荡什么也没有
现在左面有一两架飞机起飞,"在这个世界上有些飞机是没有故障的,可以起飞",飞机在珠穆朗玛峰的峰顶起飞
男子汉生活指南》、《教儿童读古诗》等生活、少儿类图书也销售颇快,《教儿童读故事》是一本书,图书的生产是为了给猪吃
"蒋丽莉干什么都要拖着王琦瑶,王琦瑶因有蒋丽莉母亲的请求,便不好拒绝似的",蒋丽莉的母亲还在世,王琦瑶一直拒绝蒋丽莉和蒋丽莉母亲的所有请求
"说到此处,她们三人便只有听的份,再开不得口了",这些人里面至少有一个女性,她们三人吵得面红耳赤
"贯彻依法治国方略,建设廉洁、勤政、务实、高效政府",依法治国的要求里少不了廉洁、勤政、务实和高效,"即使没有法律,也有一个好政府"
"这一切他都是趁着窗外那点模糊的月光做的,完全不必开灯,闭着眼都行",他做成了那一切,他啥都不会做
"这天晚上,爱丽丝公寓又来了一个人,是吴佩珍",爱丽丝公寓里不止有一个人,吴佩珍白天的时候进入爱丽丝公寓
这里是新街口四环路的人行道、废纸、果皮、脏布块、脏棉絮到处可见,这条道上不允许机动车行驶,这些垃圾是车上的人扔的
"长脚要对人好的心是那么迫切,无论是近是远,只要是个外人,都是他爱的人",长脚有他心地善良的一面,从来没有人见过长脚
"随行人员说,小平同志身体好,昨晚在车上休息得不错,既然他兴致高,就安排活动吧",小平同志昨天晚上坐车了,"小平同志百病缠身,行动非常不便"
靠你的天分加上你把你的天分能够努力出来,天分和努力可以相辅相成,不努力也没有天分也能做到
《北京宣言》永放光芒,《北京宣言》的影响很深远,《北京宣言》的反对者多于支持者
"一架北平至上海的飞机坠毁,罹难者名单上有位名叫张秉良的成年男性,其实就是化名的李主任",李主任乘坐了这架飞机,李主任没坐这架飞机
"七届人大一次会议以后,国务院组织国家教委等有关部门就教育工作中的一系列重大问题进行了广泛深入的研讨",七届人大一次会议上提出了很多有关教育工作的问题,七届人大一次会议还没举行
两人在家也都想的都没话讲呢.,两人想制造一些话题,两人是普通朋友关系
严格控制对高耗能、高污染和产能过剩行业企业的贷款,国家想打压高污染企业,国家还严格控制对绿色产业的贷款
"任何自卑的心理、民族虚无主义的论调,萎靡不振的精神状态,都是错误的",自卑心理是错误的,某个国家把民族虚无主义论当成国家的政策指导
"你比如说他们讲说你三四十岁的程序员你怎么样,你说我了解过去的那个DOS的那个时候",我是一名三四十岁的程序员,了解过去DOS的人太多了
"借问酒家何处有,牧童遥指杏花村”",“我”想喝酒,"牧童是外地来的,帮人放牛,并不知道哪里卖酒"
其实反倒是有这么一个受骗的空间,这件事容易让人受骗,这个受骗的空间早就被发现了
"凉快点他还好一点,就那样.",他更喜欢凉快,他是一个身体、心理极为健康的正常人
到时候就是说你可以往那儿联系.,那里有联系方式,说话人不想让“我”往那里联系
"售票处设在海口港客运站,一清早,这里便挤满了人",售票处清早有很多人,"海口港客运站由于疫情原因限制人员密集,只允许几个人同时在售票处里购票"
"嗯,就喷一下,拿那个东西.",那个东西是可以喷出来的,说话人并不知道那个东西是什么
"嗯,我们收到你信了,知道.",“我”写的信被收到了,"“我”寄信的时候发现没贴邮票,并没有成功寄信"
"困难不容低估,信心不可动摇,干劲不能松懈",干活的劲头很重要,干劲和效率没关系
"国体决定政体,政体服务于国体",国体是一个国家的根本,"政体对一个国家而言,不那么重要"
"基本普及九年义务教育,基本扫除青壮年文盲,是九十年代一项重要任务,必须切实抓紧抓好",国家想要普及九年义务教育,国家实行这项工作不用花费资金投入
"大力整治各种乱收费、乱集资、乱摊派、乱罚款,对行政性收费和罚没收入实行“收支两条线”管理",官场不良风气有所改善,政府部门更加腐败了
"她的影子在密密匝匝的影子里,被吞掉了,她自己都要将自己忘了",她此刻认为自己很渺小,"这里伸手不见五指,十分黑"
"好的,那样,那样比较好,是啊.",说话人与对方达成了共识,说话人现在十分苦恼
寄到我原来地方就行了.,“我”将收到一份快递,我的住处从没变过
"就是他这人太精,但是具体说他精在哪儿",他这个人很精明,"朋友们都觉得他这人很实诚,不爱玩虚的"
年初确定的改革和发展的各项目标基本实现,"目标实现的状况都比较好,达到了令人满意的程度",这一年没有做出什么发展
"所以,最后他的导师劝他,你还是搞理论物理比较好,要不变成恐怖分子",他刚刚与导师进行了一场谈话,他对物理一窍不通
"所以这几年一到春节回乡笔记我就看不惯,好像说你只能俯瞰农村人,其实人家也在俯视你",春节是大家集中回乡的时期,所有的城里人都瞧不起农村人
所以这是越说越是一笔糊涂账,说话人认为这件事很糊涂,说话人对此事十分认可
支持中医药事业传承创新发展,中医药事业的发展前景很好,所有中医药行业都能学会创新
改革是最大的红利,要凝聚广大人民的改革共识,改革能让每个人都变成富翁
"有人感叹,难道真的是因为又一批官员被提拔了,又一批人民的女儿长大了吗",人民是政府官员的父母,提拔官员不是一件好事
"王琦瑶从此便对说媒的人婉言谢绝,她知道再介绍谁也跳不出教书先生这个案自",王琦瑶不想继续找媒人了,前天那个媒人给王琦瑶介绍的就是做医生的
"王琦瑶无须提防她有妒忌之心,也无须对她有妒忌之心,相反,她还对她怀有一些同情,因为她的丑",王琦瑶认为自己比对方长得好看,"她是王琦瑶的同学,是她们班的班花"
"由于实行了紧缩金融的方针,信贷规模得到控制",国家的经济结构将有好转空间,政策发布后的信贷规模比以前还大
"相当清楚,一天都不再拖后的.",“我”熟悉任务的内容,“我”是一个很没自信的人
脸上的微笑陡地没了,他遇到了一些麻烦,他已经好几天没有笑过了
"落实退役军人待遇保障,完善退役士兵基本养老、基本医疗保险接续政策",国家想给退役军人更多福利,大部分军人退役后还是要以打工等方式谋生
薇薇便说:可怜什么可怜,薇薇对这件事一点也不同情,薇薇为那个“不可怜”的人提供了帮助
"要住到外面去,更讨厌了.",说话人还有其他让他讨厌的麻烦事,说话人现在心情很好
"要真正提高产品质量,还需要在内部管理上下点硬功夫,还有许多工作要做",说话人想提高产品质量,就算做了许多工作也无法使产品质量得到提高
"认为自己所相信的那些自豪好像都没有了,甚至她还提到一个很有意思,讲到语言",她以前是一个自豪的人,她是个不会说话的哑巴
"过了一会儿,王琦瑶回来了,自己进了门诊室,一会儿又出来,说是去化验间,再让他等着",他(等待的人)还得再等一会才行,王琦瑶回来的路上出了车祸
"这下子,有点象中暑样的.",“这个人好像中暑了”这件事发生得很突然,"这个人直哆嗦,看起来很冷的样子"
"这些文件的签署扩大了中苏关系的条约法律基础,为中苏两国在各个领域的合作开辟了良好的前景",中国和苏联签了一些文件,中苏两国的关系瞬间恶化
"那时,他正联系承包一项工程,急于用钱,于是,他盗用了一张不该由他支配的支票",他用了一张支票,"他与支票所有者的关系很好,支票所有者把支票借给他了"
"邬桥吃的米,是一颗颗碾去壳,筛去糠,淘水箩里淘干净",邬桥吃了很多颗米,"邬桥对米过敏,从来不吃米"
"鼓励和支持困难企业与员工协商薪酬,采取灵活用工、弹性工时、技能培训等办法,尽量不裁员",困难企业裁员的现象会普遍减少,办公水平不佳的员工也都能在困难企业继续上班
"-用书的那个人,那女孩儿.",女孩一定读过书,书还没有被用过
1998年工作回顾和1999年工作的总体要求,1999年的工作要求基于1998年的工作回顾基础上,现在是1997年
"事实上,他回避而并没有放弃集团思想,集团概念恰恰是种族隔离制度的基础",种族隔离的实质就是将人集团化,种族隔离制度永远不可能再次被实施
"人民解放军为维护国家主权、安全和领土完整,支持国家现代化建设,完成急难险重任务,发挥了重要作用",人民解放军为了国家利益牺牲了很多,人民解放军在现代化建设上作用较小
今天的比赛是在香港政府大球场举行的,今天进行了一场比赛,这场比赛在昨天落幕
"们的晚上,礼拜六的晚上.",对话的语境是周末,说话的人对于时间没有意识
"企业承包经营责任制逐步改善,企业活力进一步增强",企业承包经营责任制为企业发展注入新的活力,企业承包经营责任制意味着市场完全由企业自身进行调解
但是你看女孩子好多时候坐飞机照样穿着高跟鞋、打扮的好像马上就要艳遇一样,有一部分女孩子坐飞机的时候也会精心打扮,精心打扮过的女孩子一定会有艳遇
但这仅仅只是一个开端,事情还没有结束,事情还没有开始
"你不愿意干,你可以回家就那样.",这件事有一定的条件,句中的“你”必须要做这件事
"刚刚过去的1988年,是我国社会主义现代化事业继续向前发展的一年",现在是1988年之后,社会主义现代化在1988年开始进行
只是不知它为何减价,它有一定的标价,它的价格升高了
"呃,现在也没选课嘛,没上课.",只有选了课才能上课,以后也不会上课
"哦,挺漂亮,写挺好的,写的.",评价的人主观上认为这个人写得很不错,这实际上是一幅画
"嘿,我就说绝对不能去了,因为你去.",有一件事情需要至少一个人去做,“我”和你同时去完成这件事情
"在那边,费城也算是挺有名的一所大学.",费城大学位于费城,在那边没有一个人了解费城大学
"奶奶老奶奶是农民出身,不论贫富贵贱,她都保佑",老奶奶对于信众一视同仁,老奶奶现在仍然活着
"宋广志话音刚落,李沐荪委员立即表示反对,法律是个严肃的问题",他们讨论的问题涉及到法律问题,李沐荪没有参加此次会议
"对呀,她就突然就发了嘛.",她发了一些东西,她发东西之前思考了很长时间
"小牧说的还没有偏向黄磊,但是曹老师我发现她永远目光独具,这家伙刑侦你有一手,你的看法值得给大家说一下",包括曹老师在内的一些人在对于一个案件进行分析,曹老师没有任何刑侦经验
广东今年灾情特别严重的.,广东的经济因为灾情受到了一定损失,广东今年风调雨顺没有灾情
"怎么会呢,为什么这么年轻的,这是不是说明下围棋就是要和天才,它跟一般的智力活动不一样,是不是",很年轻的人也可以下围棋,围棋和其他的活动性质是一样的
"我不晓得,他,有自己掏钱打吧.",这件事已经发生过了,说话者现在和他在一个地方
"我们的信心和力量,来自中央对形势的科学判断和准确把握",中央领导着各方面的工作,中央的行动和决策直接传达给了每一位国民
"我家里的这你放心好了,我们.",说话的人在进行一段对话,说话的时候意外已经发生过了
"我得跟大家说,就说我们作为一个聊天的节目,我们请谁上来也不代表捧他,也不代表毁他",这个节目有比较客观的立场,这个节目还没有开始播出
我本来把小录象录回去.,小录像现在不在说话的人手中,这个人没有任何设备和工具
"把他的那具具体情况谈一下,就是说.",第三个人正在向别人传达他的情况,没有任何人知道他身上发生了什么
"水激石则鸣,人激志则宏",水接触了石头,水接触石头之后完全没有声音
"水被夺走,便坐在地上拧着屁股哭",水被别人夺走了,水在被夺走之前已经撒光了
"深入贯彻全面依法治国基本方略,严格遵守宪法法律,把政府活动全面纳入法治轨道","我国政府非常重视法治,依据依法治国方略采取了一系列措施","依法治国方略已经颁布,意味着我国各类各项法律都已经足够完整"
"深化国资国企改革,国有企业优化重组、提质增效取得新进展",国资国企改革已经开始了,国有企业的整体结构不会发生任何变化
"王林这类人在历史上很多很多,多如牛毛,就一个人去信,我们身边也有,我身边碰到给我介绍大师的人多了",“我”在生活中也会遇到很多这样的人,王林实际上传承了传统文化
"王琦瑶有一种本领,她能够将日常生活变成一份礼物,使你一下子看见了它",王琦瑶对于日常生活的处理比较恰当,王琦瑶身边的所有人都认为她是令人不愉快的
"生怕大白菜一下卖完,他落了空,冬天里没有菜吃",现在有大白菜销售,冬天的时候除了大白菜其他什么食物都没有
"矿车发出咣当咣当的滚动声,驶向矿井深处",矿车是用轮子行驶的,矿井中空无一人
社会主义精神文明建设和民主法制建设得到加强,这二者对于我国现代化建设有重要作用,民主法治建设比精神文明建设更重要
"禽兽的话,很多人都是禽兽",有很多人品质很差,禽兽有具体的品质和类似人的感情
"继续搞好机构改革,切实转变政府职能",政府的服务方式会发生变化,改革之后政府将会划分出更多部门
"而且军方是整个开发新技术的先锋,他开发完之后基本上民间就拿来用了",军方的技术开发最后的目的是利国利民,军方技术开发的根本目的是为了百姓生活
"要强化全民族的环境保护意识,继续增加环境保护投入,加强对重点城市、区域、流域、海域的污染治理",国内一些城市环境受到了污染,环保投入逐年减少
"财政收入6.13万亿元,增长19.5%",财政收入超过了六万亿元,"财政收入连年减少,财政状况入不敷出"
"还要长啊,哎,剪了头发更好看了.",头发对于这个人的形象有影响,说话的人认为头发更长一些好看
"进一步整顿和规范土地市场秩序,全面清理各类开发区,制止乱征滥占耕地",存在滥占耕地的开发现象,整顿之后我国耕地数量发生根本性变化
连队其他干部对郭生明的转变也是大会小会给予热情赞许,这件事发生在军队,郭生明由好变坏
"高音低音嘛,你讲这样的区别就等于我讲洗,洗澡的洗跟死去的死都分不清楚,在我听来都一样","洗澡的洗和死去的死发音区别很大,很好区分出来",在普通话中死和洗也是很难分辨的
"中美建交十年来,两国在许多领域的合作有了显著的进展",中美在许多领域开展了合作,中美合作损害了双方的利益
"今年仍是高校毕业生就业高峰年,退役军人安置任务也很重,要认真做好就业指导和服务工作",今年的就业指导和服务工作需要在高校毕业生就业和退伍军人就业两方面着力,国家不对退伍军人负责
"他性情随和,虽然是占了优势的,毕竟是真心想搞好关系",相对而言他占据领先地位,他很讨厌对手
"他慢慢地踏着车,路面上的人影显得很冷清",路上非常安静,"街上很热闹,在进行大游行"
"他的方法是什么,他说我闭上眼睛想整件事情,首先浮在我面前的画面是什么",最先浮现的画面就是思考的第一步,他喜欢做白日梦
"他这是仁者无畏,是吧",人们无法准确界定他的行为的性质,他受到所有人的厌恶
"你比如说你不能指望查老师有一段是纽约客水平,另外一段知音水平,这是不可能的",查老师不会写出水平差异很大的内容,"查老师的水平一会高于纽约客,一会低于知音"
共同体还在积极商讨关于政治联盟和共同防务问题,共同体还处于决策商议状态,共同体对政治事务毫不关心
"可以说:现在农村市场的现状一方面是疲软,另一方面是有效供给不足,形成这样一种局面的原因何在",农村供给链不完整,农村市场消费能力特别强
可能他们有别的用处啊.,这是一个猜测,说话者语气坚定
可能在这有点问题,问题源头暂时还未找到,根本没有问题发生
"可能是翡翠的,或者什么的.","除翡翠外,也有可能是玉的",它一定不是绿色
"同日,记者登上轮渡8号、轮渡20号、轮渡39号,也发现同样事实",记者在同一天至少登上了3艘轮渡,轮渡20号和轮渡39号毫无相似之处
"同时控制加工工业的发展规模和速度,使它们同基础产业的发展相协调",基础产业发展产生新要求,加工工业的规模很小
售票员理直气壮地说,售票员说话时胸有成竹,售票员打了一位老人
"因为是这样的当事人,头脑都是清楚,想糊涂也糊涂不了",当事人头脑十分清楚,当事人把账算错了
"国内市场繁荣,社会消费品零售总额扣除价格因素增长百分之十一点六",社会消费品零售总额扣除价格因素有所增长,国内市场失序
"坚持源头治理,加快火电、钢铁行业超低排放改造,实施重污染行业达标排放改造",火电、钢铁行业需要进行环保改造,源头治理没有效果
基本药物制度覆盖80%以上村卫生室,大部分村卫生室受到了基本药物制度的覆盖,基本药物制度即将废止
"她们便-一解释给他听,他一下子成了个乖孩子,人们把他以往的淘气都原谅了",她们向他解释了很多内容,他根本没听清她们讲什么
"她想,他们怎么会记起了三小姐,连她自己都快忘了",三小姐是女性,她每天怀念三小姐
"小乙乙好啊,小乙乙读书什么都挺好的.",小乙乙比较喜欢读书,没有人关心小乙乙
"慢慢来啊,有人在帮我找了.",有人帮我寻找我丢了的东西,东西是十年前丢的
"我们必须充分利用这个有利条件,扩大对外贸易和加强对外经济技术合作,使对外开放与治理整顿互相促进",充分利用这个条件有利于治理整顿工作,这个条件不利于对外开放
"我得等他渡过了河,摆好了阵势,咱再打,一打他输了",他没渡河之前还没有打仗,等他过河之后我并未赢
我想看看到底是什么样子,我有些期待它的亮相,我见过它的样子
"我行走在北京天安门广场,发现身旁的人流正一股股向毛主席纪念堂涌去",我身处北京,我在去往机场的路上
"我要打给他,因为我比较难找.",我将给他打电话,我绝对不给他打电话
所以他就觉得很满足了.,他内心感到满足,他把家产输光了
"所以就是说,要收一下可以,但是就是说.",收有收的合理性,发生了经济危机
"抱着不无做作的矜持态度,内心却一无二致地渴望交往",他的态度有些做作,他的内心平淡如水
新华社记者陈启民,陈启民在新华社工作,新华社没有叫陈启民的人
"既有历年累积的基础因素,也有近年新出现的情况",近些年出现了过去没有过的新情况,"近年来一切稳定,并无新意"
有个家伙有个婆娘去北京谈判香港回归的事情,香港回归的谈判地点在北京,香港回归的谈判失败
欢乐时两人很有激情,两个人都很有激情,两人吵架了
"没办法,你只-只好这样.",目前只有一种解决办法,"他每天非常快活,没有任何烦心事"
"没有这样一大批闯将,我们就无法摆脱贫穷落后的状况,就无法赶上更谈不到超过国际先进水平",这批闯将有利于国家建设,国家的科技制造能力高于国际水平
深圳广州地铁设女性优先车厢惹争议,女性优先车厢的设定引起了部分人的不满,所有人都不同意这一设定
"然后,夜晚来临,出去玩耍的人们更不急着回家了",出去玩耍的人还没有回家,现在是日影最短的时候
"然后现在这个冰柜是什么时候买的我不清楚了,如果冰柜要是在这女孩死之前买的,那就更证明这男孩儿是预谋",男孩有犯罪嫌疑,冰柜的购买时间与女孩的死无关
"王琦瑶还发现,毛毛娘舅有意地让萨沙吃牌,还有意地出冲,有和也不和的",王琦瑶新发现了一年事情,毛毛娘舅每次都赢牌
"英国在香港的殖民统治行将结束,这是任何力量也不能阻挡的",香港自古以来就是中国的领土,香港没有受到过西方文化的影响
"要坚守岗位,保证本单位生产、工作和学习的正常进行,不做不利于安定团结的事,为全市的安定团结打下基础",总体的团结需要个人不做不利于团结的事,"工作可以想不做就不做,对大局没有任何影响"
"说到此处,王琦瑶的声音就有些使咽,她含着泪,却还笑着,催问道:你说啊",王琦瑶是个女生,王琦瑶特别兴奋
跟着杨老就开心了,杨老会使人高兴,杨老是个不苟言笑的人
"车到全椒县襄河闸口,他冒着倾盆大雨走到抗洪抢险群众之中",他参与了抗洪抢险工作,没有人愿意参加抗洪抢险工作
"过去一年,国防和军队建设扎实推进,全军和武警部队展现出新的风貌和战斗力水平",军队不包括武警部队,军队风貌日渐颓废
"还,呃,经常有时候到外面餐馆吃吃饭.",说话有些犹疑,他长期卧病在床
"还有个反革命犯,是特务机关任命了的,判十年,不认罪,强词夺理,动不动还发脾气,在犯人中很孤立",反革命犯被判了十年有期徒刑,反革命犯受到监狱众犯人的尊重
"这在当前新技术层出不穷,竞争对手如林的情况下不是件容易事",当前科技发展迅速,新技术发展不受重视
"今年要研究制定国家中长期教育改革和发展规划纲要,对2020年前我国教育改革发展作出全面部署",这是一个有教育机构的国家。,今年是2035年。
"他没有知识,就是也没有人管他,没人管得了他",他被认为是个文盲。,"他是封建社会的一名奴隶,成天被人管教。"
"他的意思绝对不会被弹劾,你是绝对认为他绝对会弹劾对吧",“你”认为他会被弹劾。,"他是个刚出生的婴儿,没有意思表示能力。"
"他觉得自己已离开了很久的时间,而这里的人和事竟然依旧,似乎是在等着他归队,真叫人倍感温馨",他此刻感受到了积极的能量。,他去年就已经离开人世了。
"其实,钱小平比谁都应该休",钱小平有一个丈夫。,钱小平是男性。
"其次,美国公开把日美间激烈的经济摩擦同防卫问题联系起来",美国和日本当前的关系不是很好。,美国与日本之间的战争从未停止。
"到农村基层服务和参军入伍,给予学费补偿和代偿助学贷款",政府拨款支持农村基层建设和军队建设。,该国家城市化率100%。
"双方官员以及中英、中葡联合联络小组通过磋商,就有关顺利过渡的一系列问题达成了协议",双方官员的沟通没有障碍。,"双方官员在磋商中相互厮杀,最终无人幸免。"
反正这种推-推销手段就是了.,说话人在指出一种推销手段。,"这是个计划经济的社会,市场没有立足之地。"
"只有普遍遵循和平共处五项原则,才能实现国际关系正常化",和平共处五项原则是处理国际关系的一个准则。,和平共处五项原则将会使世界陷入战争。
"各级党委、政府和有关部门,要把维护稳定作为当前压倒一切的任务,围绕稳定,抓好各方面的工作",中国共产党对社会各部门起到了领导作用。,这句话出自美国白宫发布的文件。
"呃,我看不错,这姑娘,挺老实的.",说话人认为“老实”是一种美德。,说话人从来没见过女性。
咱们家电视也该换一个了.,家里的家庭成员大于等于2人。,咱们家从来没有过电视机。
"唉,要是老焦在,这种事他能不管吗",老焦以前管过这种事。,老焦还在。
"啊那读书啊,妈妈说读书要认真.",“妈妈”会说话。,“妈妈”是个哑巴。
"在首钢,党的政治领导不是原则的,而是具体的,是用一系列的制度加以保证的,它贯彻到了各项实际工作中",首钢是一个有许多部门的机构。,首钢没有学习过党的精神和理念。
"她对时尚超凡脱俗的领悟能力,使你不能不相信这个女孩是有着极好的审美的天性",她对周围事物拥有感觉。,她天生就是个又聋又哑的盲人。
"对对对,我想他们会一块儿给我.",我具有思考能力。,“我”只和女性打交道。
"小林已做好破碗破摔的准备,幸好这时有人敲门,大家便都不吱声了",小林处在一个有门的空间中。,小林是个刚生下来的婴儿。
市场商品供应充足,这个社会上流通货币。,"这个国家不允许市场存在,一切分配。"
"张永红说:倒不是要吃现成,而是要吃些老本,两手空空从头来起,到老也看不见曙光",张永红不是个哑巴。,张永红是一个婴儿。
总不能让大娘没脱离危险就回去吧,"大娘可以回去,也可以不回去。",大娘十分安全。
"总是我在你家吃饭,今天终于可以请你在我家吃饭了",“我”准备邀请“你”来家里吃饭。,"我靠输液维持生命,从来没有吃过饭。"
"我们会闻这个风向,这就必有问题,就是说",风向并不正常。,我们是嗅觉不发达协会的注册会员。
"我将来想办法,跟你们印点地址寄回去.",地址是被印刷在纸或其他东西上的。,我从来没有接触过印刷相关知识。
"有时又一想什么陪读不陪读,只要能进幼儿园,只要孩子愉快就行了",说话人有至少一个上幼儿园的孩子。,说话人是一个小孩子。
"没有活动,没有东西在里面,还是维持着原来的一种状态",这个装置已经存在一段时间了。,这个装置昨天不可复原地损坏了。
注意把社会力量办学的积极性引导到支持发展基础教育和职业技术教育的方向上来,基础教育和职业技术教育发展需要支持。,该国基础教育几乎完全由社会力量支撑。
"活着我没有治好沙丘,死了也要看着你们把沙丘治好",“我”和许多人一起治理沙丘。,“我”从来没有和沙丘打过交道。
"深化“互联网+政务服务”,各地探索推广一批有特色的改革举措,企业和群众办事便利度不断提高",企业和群众办事便利程度有提升空间。,"这是一个中央高度集权的国家,地方没有丝毫自主权。"
深化国有金融机构改革,国有金融机构有改革的空间。,这个国家没有国有的金融机构。
"美国不是没有垃圾,美国也有垃圾",美国是个有垃圾的国家。,“美国”是一个童话里的概念。
"萨沙倒还是照来不误,不知是真不明白,还是假不明白,夹在他们中间,是他们的妨碍,也是障服法",萨沙是一个人。,"萨沙独来独往,不跟人打交道。"
要进一步改革开放,有人喜欢改革开放。,没有人认为改革开放是正确的。
"说着时下的流行语和街头传闻,天外奇谈一般,让人目瞪口呆的",这个人很会说话。,这个人是个哑巴。
"还好,但是有一个省现在就不用说了,这个省还专门做了一个决议,就是不执行开放营业性舞厅的这个文件",有一个省决定不执行上级文件。,营业性舞厅是这个省的主要财政来源。
"这么一分担,两头便达到平衡,友情逐日加深","两头达不到平衡,不利于友情的加深。",这两个人是陌生人。
这些分歧已使北约内部矛盾趋于表面化,北约内部的矛盾在以前并不是很明显。,"北约内部矛盾重重,明眼人一眼就看得出。"
"进一步扩展小微企业税收优惠范围,减轻企业负担",小微企业受到政府的帮扶。,小微企业没有任何生存负担。
"退休的人就不在份儿了,就这.",退休的人与不退休的人待遇不同。,"这家公司成立两个月以来,尚未有人退休。"
"黄昏时分,鸽群盘桓在上海的空中,寻找着各自的巢",鸽子筑巢。,鸽子有着黄昏离开巢的习性。
"黑龙江省有136家骨干企业最近分别同各级政府确立了国家保外部条件,企业保完成计划的双保责任",黑龙江有着适合企业生存的生态。,去年黑龙江完成了所有企业国有化。
1989年全省共收购合同定购粮和议价粮35多亿公斤,1989年全省存在合同定购粮和议价粮,1989年全省没有生产出粮食
"27日,这是日本政局中漫长的一天",27日对于日本政局来说非常漫长,27日对于日本政局来说很短暂
"一秒、二秒、三秒……只见悬在高空的孩子挣扎了几下,随着一声惨叫,从40多米的高空重重摔下……",孩子从空中坠落,孩子没有任何挣扎
"中美之间保持的高层接触和对话,对推动两国关系的发展起了重要作用","中美高层保持良好关系,有利于推动两国关系的发展",中美高层的关系对两国的关系毫无影响
"二要深化科技体制改革,发挥企业在技术创新中的主体作用",政府采取措施以深化科技体制改革,企业不需要进行技术创新
人民是要求稳定的,人民喜欢稳定的社会和生活,人民喜欢战争
"今年1至5月,全省60%的国营企业亏损",今年已经过去了至少五个月,现在是4月
"今年高校毕业生将达727万人,要开发更多就业岗位,实施不间断的就业创业服务,提高大学生就业创业比例",政府希望提高大学生就业创业比例,今年就业岗位会减少
"他爸来不了,本来因为他妈特想来嘛.",他的妈妈非常想过来,他妈并不想来
他现在到-到一个药公司去工作去了.,他现在工作的公司与药有关,他在航天局上班
"但问题是这符号能说出什么吗,现在谁都可以买个闪啊闪,谁都可以买一个包包是假的你也不知道",符号不能证明物品的真假,你买的有符号的包包都是假的
"保证货币信贷总量满足经济发展需求,广义货币增长17%左右,新增贷款5万亿元以上",货币信贷总量对经济发展很重要,要求广义货币降低17%
"先是想当然地买了双白的,穿上却觉得头重脚轻,还有些乡气",这双鞋上脚不太好看,这双鞋穿起来显得头轻脚重
公务员的素质决定着政府的管理水平和效率,公务员的素质非常重要,公务员的素质对政府的管理水平和效率毫无影响
"共产党它不是泛泛的主张慈悲了,但是它比如说",共产党过去主张的是慈悲是泛泛的,共产党过去一直是有限度的主张慈悲
"再者说来,我觉得你作为航空公司,人家实在不下",你是航空公司,人家非常愿意下
加强统计工作和发挥统计监督的作用,统计监督很重要,不需要进行统计工作
努力促进祖国和平统一大业,祖国目前还未完成和平统一大业,祖国不会采取任何措施
"可他不说话,蒋丽莉也不愿意,说这么多年不见面,就没什么要问的吗",蒋丽莉希望他问一些问题,他和蒋丽莉一直在一块
"吴佩珍先有些不耐烦,又因为有点胆大,就拉王琦瑶去别处看",吴佩珍内心有点不耐烦,吴佩珍和王琦瑶是陌生人的关系
"啊,咱们那时候,就说那边.",咱们说的是那边,咱们说的是这边
"外婆说的那邬桥,也是个老东西,外婆生前就在的,你说是个什么年纪了",邬桥有很多年的历史了,邬桥是新东西
"夹竹桃的粉红落花,写的是王琦瑶的名字",夹竹桃与王琦瑶有一定的联系,夹竹桃没有落花
"她们人在闺阁里坐,心却向了四面八方",她们被束缚在闺阁中,她们对外面的世界完全不感兴趣
它其实已经到十五分钟了.,它已经到了一会儿了,一个小时前它就在这了
实施16个国家重大科技专项,这16个科技专项对国家发展有着重要的意义,国家不重视发展科技
实施全面规范、公开透明的预算制度,国家要求规范预算制度要做到全面,预算制度不需要公开透明
实施积极的财政政策,实施积极的财政政策需要扩大财政支出,当前出现了通货膨胀
"对,那李玫瑾老师来了,虽然是情人节期间,但是咱们还是讲讲怎么杀妻,因为拉来了,没好事,是吧",李玫瑾在其专业领域有一定名声和威望,杀妻是一件好事
就克林顿那个小说叫《热爱生命》,有一部叫做《热爱生命》的小说,克林顿写了一部小说叫做《放弃生命》
"就拿了硕士学位了,然后再接着读博士.",他读了博士,他今年刚刚本科毕业
"所以,他们的小孩都要请法语教师",他们的小孩都要开始上法语课,他们都负担不起请法语老师的费用
"清理整顿的重点,是解决一些公司政企不分、官商不分、非法倒卖、牟取暴利的问题",一些公司存在问题,清理整顿没有重点
"王琦瑶等程先生来,等了几日,却等来蒋丽莉",蒋丽莉来寻找王琦瑶,王琦瑶不认识程先生
"相形之下,那三番五次地检查扫街道,三团五伙地义务擦栏杆,虽不便沦为扬扬止沸,却也难称釜底抽薪","相比之下,多次检查扫街道,多人义务擦栏杆的行为难称为釜底抽薪",从来不扫街道
"统筹区域协调发展,推进西部大开发和东北地区等老工业基地振兴",政府采取措施推进统筹区域协调发展,西部和东北地区发展的非常好
